Node,Type,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Louvain_Community,Leiden_Community
leg pain,Symptom,71,0.06478102189781022,0.038965167681688506,0.3303194695599759,7,0
problems with movement,Symptom,41,0.03740875912408759,0.013798248982971394,0.3190684133915575,7,0
metabolic disorder,Disease,4,0.0036496350364963502,0.0004280648980137225,0.2523020257826888,1,5
jaundice,Symptom,9,0.008211678832116789,0.0007902176058233569,0.2750313676286073,3,5
smoking problems,Symptom,8,0.0072992700729927005,0.0004125255805004123,0.2709517923362176,0,3
weight gain,Symptom,22,0.020072992700729927,0.011319377215940155,0.30648769574944074,1,4
vaginitis,Disease,11,0.010036496350364963,0.0012441443082967807,0.27831386490604365,3,1
pelvic pain,Symptom,31,0.028284671532846715,0.009030326900831389,0.2974219810040706,3,1
vaginal pain,Symptom,11,0.010036496350364963,0.0005116446572163544,0.2583078010841386,3,1
lower abdominal pain,Symptom,48,0.043795620437956206,0.011841171737529098,0.31612344966830114,3,1
sharp abdominal pain,Symptom,135,0.12317518248175183,0.0955666145005218,0.35828702190258255,3,5
pain during pregnancy,Symptom,21,0.01916058394160584,0.0038700531623888723,0.2744803405960431,3,1
vaginal redness,Symptom,5,0.004562043795620438,0.00026358119177012087,0.24220994475138122,3,1
sick sinus syndrome,Disease,8,0.0072992700729927005,0.000560162206262959,0.27767925006333927,1,4
increased heart rate,Symptom,12,0.010948905109489052,0.00021616853900826796,0.2638420799229658,1,4
weakness,Symptom,47,0.04288321167883211,0.011068940286861286,0.31612344966830114,1,4
decreased heart rate,Symptom,8,0.0072992700729927005,5.2118039119256105e-05,0.25619448340345957,1,4
tinnitus of unknown cause,Disease,8,0.0072992700729927005,0.0018346633714073108,0.28497139885595424,2,2
ear pain,Symptom,34,0.03102189781021898,0.007154751376161397,0.2951791004578508,2,2
ringing in ear,Symptom,9,0.008211678832116789,0.00020794736119553457,0.24971519708361814,2,2
itchy ear(s),Symptom,4,0.0036496350364963502,0.00010237585380665666,0.2433392539964476,2,2
diminished hearing,Symptom,26,0.023722627737226276,0.006498319928966289,0.28095360164060496,2,2
plugged feeling in ear,Symptom,12,0.010948905109489052,0.00047416785679900127,0.2564342536265793,2,2
glaucoma,Disease,9,0.008211678832116789,0.0006143658605249781,0.2510306917086578,6,7
foreign body sensation in eye,Symptom,22,0.020072992700729927,0.0012189081123748864,0.24119718309859156,6,7
spots or clouds in vision,Symptom,27,0.024635036496350363,0.004975697909682188,0.27101879327398615,6,7
eye redness,Symptom,26,0.023722627737226276,0.0056383648788369874,0.27565392354124746,6,7
lacrimation,Symptom,27,0.024635036496350363,0.0031477851209195584,0.24745992323323548,6,7
itchiness of eye,Symptom,20,0.01824817518248175,0.0024854561164469385,0.2550023266635644,6,7
itchy eyelid,Symptom,4,0.0036496350364963502,0.0003102469890297391,0.25034262220191866,8,6
eating disorder,Disease,9,0.008211678832116789,0.0055183091364386415,0.28408501814411613,0,3
decreased appetite,Symptom,27,0.024635036496350363,0.006112744897141394,0.31136363636363634,3,2
acne or pimples,Symptom,26,0.023722627737226276,0.0061801396001049695,0.288042049934297,8,6
difficulty eating,Symptom,2,0.0018248175182481751,0.00016420595687801894,0.22828577379712559,2,2
transient ischemic attack,Disease,10,0.009124087591240875,0.0024991413883253184,0.30284609008013263,0,3
focal weakness,Symptom,11,0.010036496350364963,0.0007821963588331609,0.26712161832805265,0,3
symptoms of the face,Symptom,8,0.0072992700729927005,0.0008756831346953152,0.2766279656739021,6,3
disturbance of memory,Symptom,27,0.024635036496350363,0.007038312826430723,0.31648859370488014,0,3
loss of sensation,Symptom,37,0.03375912408759124,0.01018584347844862,0.3163059163059163,7,0
paresthesia,Symptom,16,0.014598540145985401,0.001183866670864075,0.288117770767613,7,0
pyelonephritis,Disease,11,0.010036496350364963,0.0021114350646166354,0.2981501632208923,3,1
side pain,Symptom,29,0.02645985401459854,0.00413245304868855,0.2982312925170068,3,1
back pain,Symptom,71,0.06478102189781022,0.04000207717971919,0.3379586802343509,7,0
rotator cuff injury,Disease,6,0.005474452554744526,0.00044598721809178233,0.24869525754481506,7,0
shoulder pain,Symptom,30,0.027372262773722626,0.007045826667668035,0.29141185854825846,7,0
shoulder stiffness or tightness,Symptom,7,0.006386861313868613,0.0001316294965203219,0.22857142857142856,7,0
shoulder weakness,Symptom,2,0.0018248175182481751,4.985052153530833e-06,0.2100824228483803,7,0
chronic pain disorder,Disease,10,0.009124087591240875,0.005540200224902274,0.3180499129425421,7,0
hip pain,Symptom,35,0.03193430656934306,0.006837149836238124,0.30184522170201045,7,0
ache all over,Symptom,31,0.028284671532846715,0.009387646858546195,0.31841952353282976,7,0
problem during pregnancy,Disease,11,0.010036496350364963,0.004587899200025019,0.3105695664494191,3,1
spotting or bleeding during pregnancy,Symptom,12,0.010948905109489052,0.0009699654443291708,0.258551545175749,3,1
cramps and spasms,Symptom,15,0.013686131386861313,0.001427249513428125,0.2555970149253731,3,1
problems during pregnancy,Symptom,17,0.01551094890510949,0.004368468846204865,0.28713649462929003,3,1
liver cancer,Disease,5,0.004562043795620438,0.00040218586721820344,0.2735213376590966,3,5
groin mass,Symptom,17,0.01551094890510949,0.004879388232940077,0.2872870249017038,5,6
upper abdominal pain,Symptom,17,0.01551094890510949,0.0007846246695097575,0.27277252364360377,3,5
stomach bloating,Symptom,11,0.010036496350364963,0.0004809569485015857,0.27345309381237526,3,5
atelectasis,Disease,6,0.005474452554744526,0.0013561062612754986,0.31004243281471006,1,4
sharp chest pain,Symptom,104,0.0948905109489051,0.05058669959203195,0.34389708189519924,1,4
injury to the hand,Disease,7,0.006386861313868613,0.0013316878138690449,0.2636516718787587,7,0
joint pain,Symptom,16,0.014598540145985401,0.0030080499971015455,0.28102564102564104,7,0
choledocholithiasis,Disease,9,0.008211678832116789,0.0013035475084186275,0.2959762354847421,3,5
chills,Symptom,16,0.014598540145985401,0.0015636348364569967,0.2947028771175047,3,5
injury to the hip,Disease,4,0.0036496350364963502,0.0001918730563329325,0.2616376223442349,7,0
cirrhosis,Disease,9,0.008211678832116789,0.00221252668714905,0.2936763129689175,3,5
blood in stool,Symptom,27,0.024635036496350363,0.006212044256333933,0.2911795961742827,3,5
vomiting blood,Symptom,10,0.009124087591240875,0.00047214576181793294,0.2714887292543968,3,5
regurgitation,Symptom,10,0.009124087591240875,0.0005722264352355133,0.2698842649593696,3,5
regurgitation.1,Symptom,16,0.014598540145985401,0.0012854464911529332,0.28002043944813493,3,5
abdominal distention,Symptom,1,0.0009124087591240876,0.0,0.22705614253159312,3,5
peripheral edema,Symptom,35,0.03193430656934306,0.013924446065656203,0.32301797819039196,2,4
thoracic aortic aneurysm,Disease,7,0.006386861313868613,0.0018876044498059206,0.30588891989952555,1,4
fatigue,Symptom,51,0.046532846715328466,0.022523395136092528,0.3265792610250298,1,4
subdural hemorrhage,Disease,6,0.005474452554744526,0.0014238670569341723,0.3043599000277701,2,2
irritable infant,Symptom,9,0.008211678832116789,0.0010940560660294843,0.28556539864512764,2,2
facial pain,Symptom,34,0.03102189781021898,0.009275812265172899,0.30027397260273975,2,2
diabetic retinopathy,Disease,9,0.008211678832116789,0.00016534308128792445,0.2502283105022831,6,7
abnormal movement of eyelid,Symptom,10,0.009124087591240875,0.0005013766880477561,0.2510882016036655,6,7
fibromyalgia,Disease,10,0.009124087591240875,0.0025740178670852847,0.3076923076923077,7,0
muscle pain,Symptom,9,0.008211678832116789,0.0009381478517905254,0.27831386490604365,7,0
ischemia of the bowel,Disease,7,0.006386861313868613,0.0006697607530174987,0.2839378238341969,3,5
retention of urine,Symptom,38,0.03467153284671533,0.013972697097749445,0.30812482429013216,5,1
burning abdominal pain,Symptom,35,0.03193430656934306,0.0030575311378363895,0.30209481808158767,3,5
constipation,Symptom,14,0.012773722627737226,0.0018584862760437598,0.28408501814411613,3,5
fetal alcohol syndrome,Disease,3,0.002737226277372263,0.00036531858912334467,0.25922421948912017,0,3
excessive anger,Symptom,21,0.01916058394160584,0.0010716320024705688,0.2858633281168492,0,3
peritonitis,Disease,8,0.0072992700729927005,0.0022924509426069887,0.30657342657342657,3,5
intermenstrual bleeding,Symptom,23,0.020985401459854013,0.005535222611800898,0.280306905370844,3,1
injury to the abdomen,Disease,5,0.004562043795620438,0.0014984820474431126,0.3025952512424075,7,0
acute pancreatitis,Disease,12,0.010948905109489052,0.0024540073302730288,0.31074567621207827,3,5
diarrhea,Symptom,35,0.03193430656934306,0.00484342825061185,0.30571827057182704,3,5
hemoptysis,Symptom,7,0.006386861313868613,0.0004956150615789603,0.2795918367346939,1,4
lower body pain,Symptom,22,0.020072992700729927,0.004562244686312631,0.30002737476047087,7,0
thrombophlebitis,Disease,9,0.008211678832116789,0.0014754262529625476,0.2883451723230729,7,0
skin swelling,Symptom,57,0.05200729927007299,0.023753461225625334,0.3203741596024554,8,6
leg swelling,Symptom,19,0.017335766423357664,0.003370262943018763,0.2966973470492691,7,0
arm swelling,Symptom,14,0.012773722627737226,0.002323308839182129,0.28102564102564104,7,0
skin on leg or foot looks infected,Symptom,9,0.008211678832116789,0.0005777243106973923,0.25971563981042656,8,6
lymphedema,Disease,20,0.01824817518248175,0.006862227673356023,0.32570579494799407,8,6
asthma,Disease,11,0.010036496350364963,0.0014492423556876578,0.2911022576361222,2,2
wheezing,Symptom,12,0.010948905109489052,0.00012658242757345185,0.25512104283054005,2,2
fever,Symptom,76,0.06934306569343066,0.041333112987928335,0.3397396156230626,2,2
coughing up sputum,Symptom,6,0.005474452554744526,0.00010835915599171447,0.2556566363424306,2,2
coryza,Symptom,17,0.01551094890510949,0.0004839940029982526,0.2632716790775883,2,2
allergic reaction,Symptom,19,0.017335766423357664,0.0027820281641764864,0.30167905312413984,8,2
difficulty breathing,Symptom,22,0.020072992700729927,0.0013077330090976531,0.2948614474038203,1,4
nasal congestion,Symptom,54,0.049270072992700725,0.016865238844904065,0.3175891046073602,2,2
foreign body in the vagina,Disease,3,0.002737226277372263,0.00025442206353887433,0.24937428896473265,5,1
restless leg syndrome,Disease,8,0.0072992700729927005,0.003655609695798758,0.30786516853932583,0,3
sleepiness,Symptom,12,0.010948905109489052,0.0020033799974482004,0.2825470482083011,0,3
apnea,Symptom,7,0.006386861313868613,0.0011041671161493986,0.26995073891625615,1,4
emphysema,Disease,4,0.0036496350364963502,0.001288914470179478,0.28864893336844877,1,4
cysticercosis,Disease,4,0.0036496350364963502,0.0008291496568783531,0.29002381582429215,0,3
elbow weakness,Symptom,26,0.023722627737226276,0.00832970097586464,0.30334901743703296,0,3
seizures,Symptom,23,0.020985401459854013,0.004243287459974276,0.2902542372881356,0,3
induced abortion,Disease,8,0.0072992700729927005,0.0008350429895743327,0.27216290042215047,3,1
groin pain,Symptom,9,0.008211678832116789,0.0008934821703144566,0.25959261013737567,5,1
teething syndrome,Disease,9,0.008211678832116789,0.004101631965353513,0.28526808953669963,2,2
symptoms of infants,Symptom,1,0.0009124087591240876,0.0,0.22199716426979949,2,2
redness in ear,Symptom,9,0.008211678832116789,0.0002874819663708142,0.2421564295183385,2,2
temper problems,Symptom,19,0.017335766423357664,0.003415664050939696,0.2959762354847421,0,3
infectious gastroenteritis,Disease,12,0.010948905109489052,0.004153959866198201,0.3138602520045819,3,5
fluid retention,Symptom,13,0.011861313868613138,0.0017595797527754388,0.3023448275862069,8,6
flu-like syndrome,Symptom,2,0.0018248175182481751,1.4154681087256023e-06,0.24546472564389699,2,5
acute sinusitis,Disease,11,0.010036496350364963,0.001430598335586503,0.27718765806777945,2,2
frontal headache,Symptom,7,0.006386861313868613,0.00022383073774529,0.26220095693779905,2,2
sinus congestion,Symptom,6,0.005474452554744526,0.0004228532888274062,0.2516069788797062,2,2
painful sinuses,Symptom,6,0.005474452554744526,3.9190536006141316e-05,0.23176147176993023,2,2
substance-related mental disorder,Disease,7,0.006386861313868613,0.00028884219077858974,0.26589034449296456,0,3
hostile behavior,Symptom,26,0.023722627737226276,0.0014991052042115664,0.2872870249017038,0,3
feeling ill,Symptom,18,0.016423357664233577,0.0049886637500371695,0.2979070399565099,1,4
delusions or hallucinations,Symptom,25,0.02281021897810219,0.001434681340872283,0.29125697581716714,0,3
drug abuse,Disease,34,0.03102189781021898,0.00882936607391619,0.3154864709268854,0,3
postpartum depression,Disease,9,0.008211678832116789,0.0024580739097448748,0.27530771163024365,0,3
coronary atherosclerosis,Disease,8,0.0072992700729927005,0.001486046339430226,0.2780314561136479,1,4
burning chest pain,Symptom,3,0.002737226277372263,7.06599767310558e-05,0.2513185049300619,1,4
leg cramps or spasms,Symptom,11,0.010036496350364963,0.0012630270214930867,0.27155599603567887,7,0
spondylitis,Disease,9,0.008211678832116789,0.0017896485859998084,0.274,7,0
back mass or lump,Symptom,4,0.0036496350364963502,0.0002859858264852935,0.2498860009119927,8,6
stiffness all over,Symptom,3,0.002737226277372263,5.439405591741126e-05,0.24082619204570424,7,0
pituitary adenoma,Disease,4,0.0036496350364963502,0.0010096215876374012,0.2853423587607394,6,7
muscle swelling,Symptom,7,0.006386861313868613,0.0009239451913822679,0.25996204933586337,6,7
uterine fibroids,Disease,9,0.008211678832116789,0.0011761123131202695,0.2761400856638952,3,1
heavy menstrual flow,Symptom,10,0.009124087591240875,0.0004039445286871822,0.24237063246351173,3,1
unpredictable menstruation,Symptom,13,0.011861313868613138,0.0027343314729764995,0.27035027133695116,3,1
painful menstruation,Symptom,7,0.006386861313868613,4.207047956429281e-05,0.22914488814551537,3,1
idiopathic nonmenstrual bleeding,Disease,6,0.005474452554744526,0.0006238099905118358,0.27229813664596275,3,1
long menstrual periods,Symptom,9,0.008211678832116789,0.0018596489608557118,0.258551545175749,3,1
chalazion,Disease,10,0.009124087591240875,0.003033509531427095,0.26371511068334935,6,7
swollen eye,Symptom,13,0.011861313868613138,0.0018541251392486153,0.26601941747572816,6,7
eyelid swelling,Symptom,4,0.0036496350364963502,5.810635675943969e-05,0.21845724536575642,6,7
mass on eyelid,Symptom,4,0.0036496350364963502,7.021198033217156e-05,0.21915616876624675,6,7
ovarian torsion,Disease,6,0.005474452554744526,0.001485782929345613,0.288042049934297,3,6
retinopathy due to high blood pressure,Disease,6,0.005474452554744526,0.0006259764856727054,0.24824462061155153,6,7
pus draining from ear,Symptom,4,0.0036496350364963502,0.00018858658152177794,0.21985957873620862,6,7
vaginal yeast infection,Disease,10,0.009124087591240875,0.0019353804690353923,0.280306905370844,3,1
itching of skin,Symptom,35,0.03193430656934306,0.008951510559639001,0.31359084406294707,8,6
vulvar irritation,Symptom,4,0.0036496350364963502,4.268690659005488e-05,0.23015539689206216,3,1
mastoiditis,Disease,6,0.005474452554744526,0.0008554077072346742,0.28541666666666665,2,2
lung contusion,Disease,4,0.0036496350364963502,0.00044638031765806356,0.2839378238341969,1,4
hypertrophic obstructive cardiomyopathy (hocm),Disease,3,0.002737226277372263,0.000515887708149375,0.2750313676286073,5,3
ingrown toe nail,Disease,10,0.009124087591240875,0.0032959042490147096,0.27068411953568783,8,6
neck swelling,Symptom,8,0.0072992700729927005,0.0017589411781932778,0.2667315648576296,2,2
"skin dryness, peeling, scaliness, or roughness",Symptom,24,0.021897810218978103,0.0016216257118210821,0.2621382444391294,8,6
skin on arm or hand looks infected,Symptom,5,0.004562043795620438,0.0005564968963414112,0.21906855886468118,7,0
irregular appearing nails,Symptom,7,0.006386861313868613,0.0001961157863106866,0.2345388401455168,8,6
pulmonary eosinophilia,Disease,7,0.006386861313868613,0.001877438502851778,0.30351703129327057,1,4
corneal disorder,Disease,10,0.009124087591240875,0.0003491814783132717,0.25172255397335785,6,7
white discharge from eye,Symptom,11,0.010036496350364963,0.0003787379214212738,0.22413087934560327,6,7
foreign body in the gastrointestinal tract,Disease,6,0.005474452554744526,0.0024219868846625057,0.2808096336151678,3,5
lump in throat,Symptom,4,0.0036496350364963502,0.00025714653560426703,0.23862399303287612,2,2
recent weight loss,Symptom,2,0.0018248175182481751,2.2865003950197634e-05,0.2382608695652174,1,5
endophthalmitis,Disease,6,0.005474452554744526,0.0012898498861741792,0.25818610129564196,6,7
intestinal malabsorption,Disease,7,0.006386861313868613,0.0021500425739447416,0.2962962962962963,3,5
flatulence,Symptom,8,0.0072992700729927005,0.0014790376787042852,0.26764346764346764,3,5
viral warts,Disease,9,0.008211678832116789,0.0011084384498997865,0.2705504813626265,8,6
skin moles,Symptom,19,0.017335766423357664,0.0008308034582256324,0.24629213483146067,8,6
warts,Symptom,10,0.009124087591240875,0.0007691263169585951,0.2401402278702892,8,6
skin lesion,Symptom,55,0.05018248175182482,0.02487474558062343,0.32112510987401116,8,6
bumps on penis,Symptom,3,0.002737226277372263,3.719826347878455e-05,0.22132471728594508,8,6
hyperhidrosis,Disease,5,0.004562043795620438,0.0014866481990480648,0.2778904665314402,8,6
sweating,Symptom,11,0.010036496350364963,0.002345551343610491,0.300768386388584,1,4
stroke,Disease,10,0.009124087591240875,0.0020454403828638196,0.3023448275862069,0,3
slurring words,Symptom,8,0.0072992700729927005,0.0002486976078997998,0.2655038759689923,0,3
pilonidal cyst,Disease,8,0.0072992700729927005,0.0019638846885226503,0.28174807197943447,8,6
bones are painful,Symptom,19,0.017335766423357664,0.005395021081097412,0.29141185854825846,7,0
pain of the anus,Symptom,14,0.012773722627737226,0.0017261368424237296,0.26492627507855937,3,5
crushing injury,Disease,6,0.005474452554744526,0.0005996628547131204,0.254292343387471,7,0
knee swelling,Symptom,19,0.017335766423357664,0.002538098020757106,0.2618251313903488,7,0
normal pressure hydrocephalus,Disease,4,0.0036496350364963502,0.0004734455805573571,0.2890295358649789,0,3
alopecia,Disease,8,0.0072992700729927005,0.0012780117768541157,0.2707509881422925,8,6
too little hair,Symptom,5,0.004562043795620438,0.000192275514717154,0.23200677392040644,8,6
skin rash,Symptom,49,0.04470802919708029,0.018059832427193216,0.32416444838805086,8,6
hashimoto thyroiditis,Disease,2,0.0018248175182481751,8.60074460645339e-05,0.25149150986691143,1,4
flat feet,Disease,5,0.004562043795620438,0.0010411417090726261,0.2692213215426185,7,0
nonalcoholic liver disease (nash),Disease,5,0.004562043795620438,0.001345719357303939,0.2928915018706574,3,5
mouth ulcer,Symptom,13,0.011861313868613138,0.0008845976485547516,0.2761400856638952,2,2
hemarthrosis,Disease,4,0.0036496350364963502,0.0010186707733996442,0.25673459826657297,7,0
pelvic organ prolapse,Disease,9,0.008211678832116789,0.0006192330827001299,0.25996204933586337,5,1
symptoms of bladder,Symptom,11,0.010036496350364963,0.0004947164187360886,0.23841635849467044,5,1
fracture of the arm,Disease,10,0.009124087591240875,0.0009089179555050398,0.2531177829099307,7,0
elbow swelling,Symptom,5,0.004562043795620438,9.901204959520679e-05,0.2377956172705576,7,0
coagulation (bleeding) disorder,Disease,5,0.004562043795620438,0.0031082279047329547,0.27229813664596275,7,0
melena,Symptom,7,0.006386861313868613,0.00035326825655674764,0.2656969696969697,3,5
intracranial hemorrhage,Disease,8,0.0072992700729927005,0.0036367437556860103,0.3143102953828506,0,3
hyperkalemia,Disease,10,0.009124087591240875,0.002831248848463607,0.30821147356580425,1,4
cornea infection,Disease,11,0.010036496350364963,0.001116101615556363,0.2590404159773103,6,7
eye burns or stings,Symptom,9,0.008211678832116789,0.0008299826266060454,0.25423335652980744,6,7
abscess of the lung,Disease,4,0.0036496350364963502,0.002182097537963474,0.28994708994708995,8,6
dengue fever,Disease,2,0.0018248175182481751,0.00022032512994949534,0.2501141031492469,2,2
chronic sinusitis,Disease,10,0.009124087591240875,0.0025717617644465587,0.29336188436830835,2,2
congestion in chest,Symptom,4,0.0036496350364963502,2.1202716755248667e-05,0.24280017722640673,2,2
cholesteatoma,Disease,4,0.0036496350364963502,0.00058931147407255,0.25085831998168917,2,7
volvulus,Disease,4,0.0036496350364963502,0.0010738260586729263,0.2918774966711052,3,5
injury to the finger,Disease,4,0.0036496350364963502,0.0003348498846391978,0.2469024555079973,7,0
poisoning due to analgesics,Disease,6,0.005474452554744526,0.0028049697264080913,0.29798803697661774,0,3
atrial fibrillation,Disease,8,0.0072992700729927005,0.000873841216693267,0.2869109947643979,1,4
pinworm infection,Disease,6,0.005474452554744526,0.000556624398242837,0.27216290042215047,3,5
itching of the anus,Symptom,3,0.002737226277372263,6.397402297516156e-06,0.220345798150382,3,5
urethral valves,Disease,5,0.004562043795620438,0.0006476027994107479,0.27434292866082605,3,1
open wound of the neck,Disease,5,0.004562043795620438,0.0005484672834193065,0.2751004016064257,8,6
achalasia,Disease,5,0.004562043795620438,0.0005262396175239306,0.2803786134561269,2,2
